ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Units Available,Price,Price (English),Flooring Type,Covered Area,Project Name,sqft Price ,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Type of Property,City,bedroom,floors,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Property,isLuxuryServiceProvided,Property Lifespan,balconies,NRI Pref,Land Area / Covered Area,Land Area Unit
8101,Ready to Move,NA,9,N,House of Hiranandani,0,29500000,2.95 Cr,"Granite,Marble,Wooden",1478,Hiranandani Eagleridge,19959,1098,Patlipada,NA,Sq-ft,Freehold,Semi-Furnished,3,2 Covered,North - East,Garden/Park,Resale,Apartment,Thane,3,38,F,Sq-ft,Y,3 BHK Flat,0,New Construction,1,Y,NA,NA
8100,Ready to Move,Dec '22,9,N,Rustomjee,4,11506000,1.15 Cr,"Granite,Marbonite,Vitrified,Wooden",746,Rustomjee Urbania,15423,746,Majiwada,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,30,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
8099,Ready to Move,NA,17,N,NA,1,45000000,4.50 Cr,"Granite,Marbonite",2113,NA,21297,1350,Manpada,"Near By School, college ,Mall upcoming Metro station",Sq-ft,Freehold,Furnished,4,NA,North - East,"Garden/Park, Pool, Main Road",Resale,Apartment,Thane,4,26,F,Sq-ft,Y,4 BHK Flat,0,Less than 5 years,1,NA,NA,NA
8098,Under Construction,NA,11,Y,NA,2,11000000,1.10 Cr,"Ceramic Tiles,Granite,Wooden",550,NA,20000,NA,Manpada,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,NA,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,50,F,NA,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8097,Dec '27,Dec '27,NA,Y,Narang Realty and The Wadhwa Group,NA,32400000,3.24 Cr,"Vitrified,Wooden,Marble",NA,Asteria By Courtyard,NA,1179,Pokharan Road Number 2,NA,NA,NA,Unfurnished,3,NA,NA,NA,New Property,Apartment,Thane,3,NA,F,Sq-ft,Y,3 BHK Flat,0,NA,NA,NA,NA,NA
8096,Dec '27,Dec '27,NA,Y,Narang Realty and The Wadhwa Group,NA,18900000,1.89 Cr,"Vitrified,Wooden,Marble",NA,Asteria By Courtyard,NA,765,Pokharan Road Number 2,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8095,Dec '24,NA,NA,Y,Saptashree Developers,NA,10200000,1.02 Cr,NA,NA,Guruprerna,NA,480,Naupada,NA,NA,NA,Unfurnished,1,NA,NA,NA,New Property,Apartment,Thane,1,NA,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
8094,Under Construction,Dec '25,20,N,Godrej Properties,12,13000000,1.30 Cr,Vitrified,714,Godrej Ascend,18207,714,Kolshet Road,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,North - West,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,42,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
8093,Dec '27,NA,NA,Y,Kashish Park Realtors,NA,19000000,1.90 Cr,NA,NA,IRIS at Kashish Park,NA,859,Thane West,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8092,Dec '27,NA,NA,Y,Kashish Park Realtors,NA,17300000,1.73 Cr,NA,NA,IRIS at Kashish Park,NA,780,Thane West,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8091,Dec '23,NA,NA,Y,JVM Spaces,NA,7910000,79.1 Lac,Granite,NA,JVM Tiara,NA,460,Owale,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8090,Under Construction,NA,NA,Y,TATA Housing Development Company Ltd.,NA,11500000,1.15 Cr,NA,NA,Tata Serein,NA,446,Pokharan Road Number 2,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,1,NA,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
