ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Units Available,Price,Price (English),Flooring Type,Covered Area,Project Name,sqft Price ,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Type of Property,City,bedroom,floors,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Property,isLuxuryServiceProvided,Property Lifespan,balconies,NRI Pref,Land Area / Covered Area,Land Area Unit
12685,Under Construction,Dec '25,5,N,NA,1,3150000,31.5 Lac,Vitrified,635,NA,4960,375,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool",New Property,Apartment,Thane,1,14,F,Sq-ft,Y,1 BHK Flat,0,NA,2,NA,NA,NA
12684,Ready to Move,NA,20,Y,TATA Housing Development Company Ltd.,10,6300000,63 Lac,Vitrified,579,Tata Amantra,10880,579,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,Main Road,New Property,Apartment,Thane,2,34,F,Sq-ft,Y,2 BHK Flat,0,New Construction,NA,NA,NA,NA
12683,Ready to Move,NA,18,N,Sai Satyam Developers,0,5400000,54 Lac,Vitrified,850,Sai Satyam Homes,6352,585,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,2,1 Open,East,"Garden/Park, Main Road",New Property,Apartment,Thane,2,18,F,Sq-ft,Y,2 BHK Flat,0,New Construction,NA,Y,NA,NA
12682,Under Construction,Dec '25,5,N,Birla Estates,70,9000000,90 Lac,Vitrified,1050,Birla Vanya,8571,815,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,"1 Covered, 1 Open",East,"Pool, Garden/Park, Main Road",New Property,Apartment,Thane,2,27,F,Sq-ft,Y,2 BHK Flat,0,NA,3,NA,NA,NA
12681,Under Construction,Dec '24,8,Y,Godrej Properties,NA,4950000,49.5 Lac,NA,561,Godrej Nirvaan,8824,419,Kalyan West,NA,Sq-ft,Freehold,Semi-Furnished,2,NA,East,Garden/Park,New Property,Apartment,Thane,1,26,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
12680,Under Construction,Mar '23,16,N,Tycoons Group,2,6570000,65.7 Lac,Vitrified,1067,Tycoons Solitaire Sapphire,6157,667,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,North - East,"Garden/Park, Main Road",New Property,Apartment,Thane,2,18,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
12679,Ready to Move,NA,1,N,NA,4,5500000,55 Lac,Vitrified,725,NA,7586,550,Kalyan West,NA,Sq-ft,Co-operative Society,Unfurnished,2,NA,East,"Garden/Park, Main Road",Resale,Apartment,Thane,2,7,F,Sq-ft,Y,2 BHK Flat,0,15 to 20 years,2,NA,NA,NA
12678,Ready to Move,NA,4,N,NA,1,4200000,42 Lac,Vitrified,650,NA,6462,585,Kalyan West,NA,Sq-ft,Freehold,Semi-Furnished,1,NA,East,Main Road,Resale,Apartment,Thane,1,8,F,Sq-ft,Y,1 BHK Flat,0,5 to 10 years,2,NA,NA,NA
12677,Under Construction,Dec '25,16,N,Godrej Properties,15,3449000,34.5 Lac,Vitrified,592,Godrej Riviera,5826,370,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,1,NA,North - East,"Garden/Park, Main Road",New Property,Apartment,Thane,1,22,F,Sq-ft,Y,1 BHK Flat,0,NA,1,NA,NA,NA
12676,Ready to Move,NA,5,N,NA,NA,5000000,50 Lac,NA,644,NA,7764,430,Kalyan West,NA,Sq-ft,NA,Unfurnished,1,NA,West,NA,Resale,Apartment,Thane,1,7,F,Sq-ft,Y,1 BHK Flat,0,10 to 15 years,1,NA,NA,NA
12675,Under Construction,Dec '24,10,N,NA,25,2990000,29.9 Lac,Vitrified,550,NA,5436,370,Kalyan West,NA,Sq-ft,Freehold,Furnished,2,1 Open,East,"Garden/Park, Main Road, Pool",New Property,Apartment,Thane,1,30,F,Sq-ft,Y,1 BHK Flat,0,NA,3,NA,NA,NA
12674,Under Construction,Dec '24,10,N,NA,25,4190000,41.9 Lac,Vitrified,850,NA,7618,570,Kalyan West,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,East,"Garden/Park, Main Road",New Property,Apartment,Thane,2,30,F,Sq-ft,Y,2 BHK Flat,0,NA,3,NA,NA,NA
12673,Ready to Move,NA,9,Y,Tharwani Infrastructures,NA,4900000,49 Lac,Vitrified,595,Rosalie,8235,NA,Kalyan West,NA,Sq-ft,Co-operative Society,Unfurnished,1,NA,North - East,Main Road,New Property,Apartment,Thane,1,19,F,NA,Y,1 BHK Flat,0,New Construction,NA,NA,NA,NA
12672,Ready to Move,NA,2,N,NA,1,2187500,21.9 Lac,Vitrified,595,NA,3676,450,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,1,1 Covered,North - East,Garden/Park,New Property,Apartment,Thane,1,3,F,Sq-ft,Y,1 BHK Flat,0,New Construction,1,NA,NA,NA
12671,Ready to Move,NA,16,N,Gurukrupa Group,0,4700000,47 Lac,Vitrified,695,Guru Atman,6763,462,Kalyan West,NA,Sq-ft,Co-operative Society,Unfurnished,1,NA,North - West,Main Road,Resale,Apartment,Thane,1,18,F,Sq-ft,Y,1 BHK Flat,0,Less than 5 years,1,NA,NA,NA
12670,Under Construction,Jan '26,9,N,NA,10,10450000,1.04 Cr,Vitrified,NA,NA,10674,980,Kalyan West,NA,NA,Freehold,Unfurnished,2,"1 Covered, 1 Open",North - East,Garden/Park,New Property,Apartment,Thane,3,26,F,Sq-ft,Y,3 BHK Flat,0,NA,3,NA,NA,NA
12669,Under Construction,Nov '25,18,N,NA,NA,12000000,1.20 Cr,Vitrified,1350,NA,8889,927,Kalyan West,East Facing Property,Sq-ft,Power Of Attorney,Unfurnished,3,1 Open,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,3,36,F,Sq-ft,Y,3 BHK Flat,0,NA,3,NA,NA,NA
12668,Under Construction,Mar '23,9,N,Gurukrupa Group,3,7000000,70 Lac,Vitrified,960,Guru Atman,7608,650,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Open,North - East,"Garden/Park, Pool",Resale,Apartment,Thane,2,23,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12667,Under Construction,Dec '23,9,N,Rutu Group,7,7000000,70 Lac,Vitrified,1010,Riverview Classic,6930,761,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Open,North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,15,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12666,Ready to Move,NA,4,N,Ajmera Realty & Infra India Ltd.,1,4800000,48 Lac,Vitrified,711,Ajmera New Era,6751,460,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,NA,North - East,Main Road,Resale,Apartment,Thane,1,21,F,Sq-ft,Y,1 BHK Flat,0,Less than 5 years,1,NA,NA,NA
12665,Under Construction,Aug '25,20,N,Birla Estates,50,9500000,95 Lac,"Ceramic Tiles,Granite,Marble,Marbonite,Mosaic,Vitrified,Wooden",1000,Birla Vanya,9500,661,Kalyan West,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,North - West,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,38,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
12664,Under Construction,Dec '24,18,N,Ajmera Realty & Infra India Ltd.,10,7499000,75 Lac,"Ceramic Tiles,Granite,Marble,Vitrified",709,One Kalyan,12415,709,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,27,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12663,Ready to Move,Dec '22,5,N,Ajmera Realty & Infra India Ltd.,2,4500000,45 Lac,Vitrified,675,Ajmera Bliss,6666,450,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,2,1 Open,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,1,21,F,Sq-ft,Y,1 BHK Flat,0,NA,3,NA,NA,NA
12662,Under Construction,Jun '25,18,N,Godrej Properties,23,4300000,43 Lac,Vitrified,590,Godrej Upavan,7288,367,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,1,33,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
12661,Under Construction,Jan '24,11,N,Tycoons Group,NA,3950000,39.5 Lac,Vitrified,NA,Tycoons Square,NA,390,Kalyan West,East Facing Property,NA,Freehold,Furnished,2,"1 Covered, 1 Open",East,Garden/Park,New Property,Apartment,Thane,1,29,F,Sq-ft,Y,1 BHK Flat,0,NA,1,NA,NA,NA
12660,Ready to Move,Jan '23,21,N,Raunak Group,NA,3600000,36 Lac,Vitrified,645,Raunak Urban Centre,5581,467,Kalyan West,Near Don Bosco School,Sq-ft,Freehold,Semi-Furnished,2,1 Open,North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,1,30,F,Sq-ft,Y,1 BHK Flat,0,NA,2,Y,NA,NA
12659,Ready to Move,NA,5,N,Vaishnavi Developers,NA,3580000,35.8 Lac,Vitrified,650,Vaibhavi City,5508,460,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,1,NA,East,"Garden/Park, Main Road",Resale,Apartment,Thane,1,7,F,Sq-ft,Y,1 BHK Flat,0,New Construction,2,Y,NA,NA
12658,Under Construction,Dec '24,7,N,NA,2,14796000,1.47 Cr,"Granite,Marbonite,Wooden",2160,NA,6850,1385,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,3,2 Covered,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,3,36,F,Sq-ft,Y,3 BHK Flat,0,NA,4,NA,NA,NA
12657,Under Construction,Dec '25,3,Y,NA,12,4300000,43 Lac,Vitrified,854,NA,5035,505,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool",New Property,Apartment,Thane,2,14,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12656,Under Construction,Mar '26,10,N,NA,12,4185500,41.9 Lac,Vitrified,384,NA,10899,384,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool",New Property,Apartment,Thane,1,23,F,Sq-ft,Y,1 BHK Flat,0,NA,2,NA,NA,NA
12655,Under Construction,Mar '23,16,N,Tycoons Group,2,6570000,65.7 Lac,Vitrified,1067,Tycoons Solitaire Sapphire,6157,667,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,North - East,"Garden/Park, Main Road",New Property,Apartment,Thane,2,18,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
12654,Ready to Move,NA,1,N,NA,4,5500000,55 Lac,Vitrified,725,NA,7586,550,Kalyan West,NA,Sq-ft,Co-operative Society,Unfurnished,2,NA,East,"Garden/Park, Main Road",Resale,Apartment,Thane,2,7,F,Sq-ft,Y,2 BHK Flat,0,15 to 20 years,2,NA,NA,NA
12653,Ready to Move,NA,4,N,NA,1,4200000,42 Lac,Vitrified,650,NA,6462,585,Kalyan West,NA,Sq-ft,Freehold,Semi-Furnished,1,NA,East,Main Road,Resale,Apartment,Thane,1,8,F,Sq-ft,Y,1 BHK Flat,0,5 to 10 years,2,NA,NA,NA
12652,Under Construction,Dec '25,16,N,Godrej Properties,15,3449000,34.5 Lac,Vitrified,592,Godrej Riviera,5826,370,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,1,NA,North - East,"Garden/Park, Main Road",New Property,Apartment,Thane,1,22,F,Sq-ft,Y,1 BHK Flat,0,NA,1,NA,NA,NA
12651,Ready to Move,NA,5,N,NA,NA,5000000,50 Lac,NA,644,NA,7764,430,Kalyan West,NA,Sq-ft,NA,Unfurnished,1,NA,West,NA,Resale,Apartment,Thane,1,7,F,Sq-ft,Y,1 BHK Flat,0,10 to 15 years,1,NA,NA,NA
12650,Under Construction,Dec '24,10,N,NA,25,2990000,29.9 Lac,Vitrified,550,NA,5436,370,Kalyan West,NA,Sq-ft,Freehold,Furnished,2,1 Open,East,"Garden/Park, Main Road, Pool",New Property,Apartment,Thane,1,30,F,Sq-ft,Y,1 BHK Flat,0,NA,3,NA,NA,NA
12649,Under Construction,Dec '24,10,N,NA,25,4190000,41.9 Lac,Vitrified,850,NA,7618,570,Kalyan West,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,East,"Garden/Park, Main Road",New Property,Apartment,Thane,2,30,F,Sq-ft,Y,2 BHK Flat,0,NA,3,NA,NA,NA
12648,Ready to Move,NA,9,Y,Tharwani Infrastructures,NA,4900000,49 Lac,Vitrified,595,Rosalie,8235,NA,Kalyan West,NA,Sq-ft,Co-operative Society,Unfurnished,1,NA,North - East,Main Road,New Property,Apartment,Thane,1,19,F,NA,Y,1 BHK Flat,0,New Construction,NA,NA,NA,NA
12647,Ready to Move,NA,2,N,NA,1,2187500,21.9 Lac,Vitrified,595,NA,3676,450,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,1,1 Covered,North - East,Garden/Park,New Property,Apartment,Thane,1,3,F,Sq-ft,Y,1 BHK Flat,0,New Construction,1,NA,NA,NA
12646,Ready to Move,NA,16,N,Gurukrupa Group,0,4700000,47 Lac,Vitrified,695,Guru Atman,6763,462,Kalyan West,NA,Sq-ft,Co-operative Society,Unfurnished,1,NA,North - West,Main Road,Resale,Apartment,Thane,1,18,F,Sq-ft,Y,1 BHK Flat,0,Less than 5 years,1,NA,NA,NA
12645,Under Construction,Jan '26,9,N,NA,10,10450000,1.04 Cr,Vitrified,NA,NA,10674,980,Kalyan West,NA,NA,Freehold,Unfurnished,2,"1 Covered, 1 Open",North - East,Garden/Park,New Property,Apartment,Thane,3,26,F,Sq-ft,Y,3 BHK Flat,0,NA,3,NA,NA,NA
12644,Under Construction,Nov '25,18,N,NA,NA,12000000,1.20 Cr,Vitrified,1350,NA,8889,927,Kalyan West,East Facing Property,Sq-ft,Power Of Attorney,Unfurnished,3,1 Open,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,3,36,F,Sq-ft,Y,3 BHK Flat,0,NA,3,NA,NA,NA
12643,Under Construction,Mar '23,9,N,Gurukrupa Group,3,7000000,70 Lac,Vitrified,960,Guru Atman,7608,650,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Open,North - East,"Garden/Park, Pool",Resale,Apartment,Thane,2,23,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12642,Under Construction,Dec '23,9,N,Rutu Group,7,7000000,70 Lac,Vitrified,1010,Riverview Classic,6930,761,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Open,North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,15,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12641,Ready to Move,NA,4,N,Ajmera Realty & Infra India Ltd.,1,4800000,48 Lac,Vitrified,711,Ajmera New Era,6751,460,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,NA,North - East,Main Road,Resale,Apartment,Thane,1,21,F,Sq-ft,Y,1 BHK Flat,0,Less than 5 years,1,NA,NA,NA
12640,Under Construction,Aug '25,20,N,Birla Estates,50,9500000,95 Lac,"Ceramic Tiles,Granite,Marble,Marbonite,Mosaic,Vitrified,Wooden",1000,Birla Vanya,9500,661,Kalyan West,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,North - West,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,38,F,Sq-ft,Y,2 BHK Flat,0,NA,1,NA,NA,NA
12639,Under Construction,Dec '24,18,N,Ajmera Realty & Infra India Ltd.,10,7499000,75 Lac,"Ceramic Tiles,Granite,Marble,Vitrified",709,One Kalyan,12415,709,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,2,27,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12638,Ready to Move,Dec '22,5,N,Ajmera Realty & Infra India Ltd.,2,4500000,45 Lac,Vitrified,675,Ajmera Bliss,6666,450,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,2,1 Open,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,1,21,F,Sq-ft,Y,1 BHK Flat,0,NA,3,NA,NA,NA
12637,Under Construction,Jun '25,18,N,Godrej Properties,23,4300000,43 Lac,Vitrified,590,Godrej Upavan,7288,367,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,1,33,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
12636,Under Construction,Jan '24,11,N,Tycoons Group,NA,3950000,39.5 Lac,Vitrified,NA,Tycoons Square,NA,390,Kalyan West,East Facing Property,NA,Freehold,Furnished,2,"1 Covered, 1 Open",East,Garden/Park,New Property,Apartment,Thane,1,29,F,Sq-ft,Y,1 BHK Flat,0,NA,1,NA,NA,NA
12635,Ready to Move,Jan '23,21,N,Raunak Group,NA,3600000,36 Lac,Vitrified,645,Raunak Urban Centre,5581,467,Kalyan West,Near Don Bosco School,Sq-ft,Freehold,Semi-Furnished,2,1 Open,North - East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,1,30,F,Sq-ft,Y,1 BHK Flat,0,NA,2,Y,NA,NA
12634,Ready to Move,NA,5,N,Vaishnavi Developers,NA,3580000,35.8 Lac,Vitrified,650,Vaibhavi City,5508,460,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,1,NA,East,"Garden/Park, Main Road",Resale,Apartment,Thane,1,7,F,Sq-ft,Y,1 BHK Flat,0,New Construction,2,Y,NA,NA
12633,Under Construction,Dec '24,7,N,NA,2,14796000,1.47 Cr,"Granite,Marbonite,Wooden",2160,NA,6850,1385,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,3,2 Covered,East,"Garden/Park, Pool, Main Road",New Property,Apartment,Thane,3,36,F,Sq-ft,Y,3 BHK Flat,0,NA,4,NA,NA,NA
12632,Under Construction,Dec '25,3,Y,NA,12,4300000,43 Lac,Vitrified,854,NA,5035,505,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool",New Property,Apartment,Thane,2,14,F,Sq-ft,Y,2 BHK Flat,0,NA,2,NA,NA,NA
12631,Under Construction,Mar '26,10,N,NA,12,4185500,41.9 Lac,Vitrified,384,NA,10899,384,Kalyan West,NA,Sq-ft,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool",New Property,Apartment,Thane,1,23,F,Sq-ft,Y,1 BHK Flat,0,NA,2,NA,NA,NA
12630,Ready to Move,NA,3,N,NA,NA,2400000,24 Lac,NA,675,NA,3556,NA,Kalyan West,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,2,3,F,NA,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
12629,Ready to Move,NA,3,N,NA,NA,2000000,20 Lac,Ceramic Tiles,605,NA,3306,NA,Kalyan West,East Facing Property,Sq-ft,Freehold,Unfurnished,1,NA,East,NA,Resale,Apartment,Thane,1,3,F,NA,Y,1 BHK Flat,0,Less than 5 years,3,NA,NA,NA
12628,Ready to Move,NA,NA,N,NA,NA,2500000,25 Lac,NA,620,NA,4032,NA,Kalyan West,NA,Sq-ft,NA,Furnished,2,NA,NA,NA,Resale,Residential House,Thane,2,NA,F,NA,Y,NA,0,Less than 5 years,1,NA,300,12850
12627,Under Construction,NA,1,N,Mutha Construction,NA,4000000,40 Lac,NA,785,Sai Nirvana,5096,NA,Kalyan West,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,1,4,F,NA,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
12626,Ready to Move,NA,12,N,Ajmera Realty & Infra India Ltd.,NA,5000000,50 Lac,NA,711,Ajmera New Era,7032,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,1,21,F,NA,Y,1 BHK Flat,0,New Construction,NA,NA,NA,NA
12625,Under Construction,NA,9,N,Godrej Properties,NA,9500000,95 Lac,NA,675,Godrej Nirvaan,14074,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,2,21,F,NA,N,2 BHK Flat,0,NA,NA,NA,NA,NA
12624,Ready to Move,NA,7,N,Madhav Constructions,NA,6000000,60 Lac,Marble,870,Madhav Shristi,6897,600,Kalyan West,Near Axis Bank. Khadakpada west,Sq-ft,NA,Semi-Furnished,2,NA,South - East,Garden/Park,Resale,Apartment,Thane,2,7,F,Sq-ft,N,2 BHK Flat,0,5 to 10 years,NA,NA,NA,NA
12623,Ready to Move,NA,4,N,Raunak Group,NA,4000000,40 Lac,NA,580,Raunak City 2,6897,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,1,NA,NA,NA,Resale,Apartment,Thane,1,15,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12622,Ready to Move,NA,2,N,Shree Vasturachna Developers,NA,3400000,34 Lac,NA,780,Vrundavan,4359,NA,Kalyan West,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,2,5,F,NA,N,2 BHK Flat,0,NA,NA,NA,NA,NA
12621,Ready to Move,NA,6,N,NA,0,4300000,43 Lac,Vitrified,615,NA,6992,NA,Kalyan West,East Facing Property,Sq-ft,Co-operative Society,Unfurnished,1,NA,East,Main Road,Resale,Apartment,Thane,1,7,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12620,Ready to Move,NA,12,N,Osho Dhara Developers,NA,7000000,70 Lac,NA,1200,Osho Dhara Residency,5833,NA,Kalyan West,NA,Sq-ft,NA,Furnished,2,NA,NA,NA,Resale,Apartment,Thane,2,13,F,NA,N,2 BHK Flat,0,NA,NA,NA,NA,NA
12619,Ready to Move,NA,2,N,Kashish Park Realtors,NA,3500000,35 Lac,NA,445,Om Heights,7865,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,1,NA,NA,NA,Resale,Apartment,Thane,1,6,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12618,Under Construction,NA,4,N,Mahavir Builders,NA,3000000,30 Lac,NA,650,Mahavir Heights,4615,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,1,1 Covered,NA,NA,Resale,Apartment,Thane,1,7,F,NA,N,1 BHK Flat,0,NA,2,NA,NA,NA
12617,Ready to Move,NA,1,N,Saisatyam Group,NA,4100000,41 Lac,NA,671,Saisatyam Residency,6110,NA,Kalyan West,NA,Sq-ft,NA,Furnished,1,NA,NA,NA,Resale,Apartment,Thane,1,7,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12616,Under Construction,NA,20,N,Mutha Construction,NA,9000000,90 Lac,NA,1085,Sai Nirvana,8295,NA,Kalyan West,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,2,32,F,NA,N,2 BHK Flat,0,NA,NA,NA,NA,NA
12615,Under Construction,Jun '23,11,N,Godrej Properties,NA,8200000,82 Lac,NA,689,Godrej Nirvaan,11901,633,Kalyan West,NA,Sq-ft,NA,Unfurnished,2,NA,NA,NA,Resale,Apartment,Thane,1,25,F,Sq-ft,N,1 BHK Flat,0,NA,1,NA,NA,NA
12614,Ready to Move,NA,5,N,Mehta Group,NA,4500000,45 Lac,NA,545,Amrut Pearl,8257,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,1,8,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12613,Ready to Move,NA,4,N,M S Developers,NA,5600000,56 Lac,NA,805,Vrindavan Garden,6957,NA,Kalyan West,NA,Sq-ft,NA,Furnished,2,NA,NA,NA,Resale,Residential House,Thane,2,7,F,NA,N,NA,0,Less than 5 years,NA,NA,NA,NA
12612,Ready to Move,NA,2,N,Haware Engineers & Builders Pvt Ltd,NA,2800000,28 Lac,NA,603,Haware Pinnacle,4644,392,Kalyan West,Newly Constructed Property,Sq-ft,NA,Unfurnished,1,NA,NA,NA,New Property,Apartment,Thane,1,4,F,Sq-ft,N,1 BHK Flat,0,New Construction,2,NA,NA,NA
12611,Ready to Move,NA,21,N,Raunak Group,NA,3500000,35 Lac,NA,615,Raunak City Sector 4,5691,NA,Kalyan West,NA,Sq-ft,NA,Unfurnished,1,NA,NA,NA,Resale,Apartment,Thane,1,22,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12610,Ready to Move,NA,11,N,Gurukrupa Group,NA,7000000,70 Lac,NA,970,Guru Atman,7216,NA,Kalyan West,NA,Sq-ft,NA,Furnished,2,NA,NA,NA,Resale,Apartment,Thane,2,19,F,NA,N,2 BHK Flat,0,NA,NA,NA,NA,NA
12609,Ready to Move,NA,8,N,Charms Group,NA,3900000,39 Lac,NA,660,Charms Heritage,5909,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,1,NA,NA,NA,Resale,Apartment,Thane,1,11,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12608,Ready to Move,NA,7,N,Mehta Group,NA,4500000,45 Lac,NA,765,Amrut Pearl,5882,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,1,14,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12607,Ready to Move,NA,7,N,Honest Developers,NA,5500000,55 Lac,NA,571,Kalyan Nagari,9632,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,1,NA,NA,NA,Resale,Apartment,Thane,1,8,F,NA,N,1 BHK Flat,0,NA,NA,NA,NA,NA
12606,Ready to Move,NA,7,N,NA,NA,6000000,60 Lac,NA,750,Lotus Tower,8000,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,2,8,F,NA,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
12605,Ready to Move,NA,9,N,Honest Developers,NA,3500000,35 Lac,NA,501,Kalyan Nagari,6986,363,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,1,9,F,Sq-ft,Y,1 BHK Flat,0,New Construction,3,NA,NA,NA
12604,Ready to Move,NA,3,N,NA,NA,7000000,70 Lac,NA,963,NA,7269,NA,Kalyan West,NA,Sq-ft,NA,Furnished,2,NA,NA,NA,Resale,Apartment,Kalyan,3,3,F,NA,Y,3 BHK Flat,0,Above 20 years,NA,NA,NA,NA
12603,Ready to Move,NA,4,N,Kashish Park Realtors,NA,7800000,78 Lac,NA,1044,Om Heights,7471,NA,Kalyan West,NA,Sq-ft,NA,Semi-Furnished,2,NA,NA,NA,Resale,Apartment,Thane,3,12,F,NA,Y,3 BHK Flat,0,NA,NA,NA,NA,NA
12602,Ready to Move,NA,3,N,Haware Engineers & Builders Pvt Ltd,NA,3500000,35 Lac,NA,608,Haware Pinnacle,5757,NA,Kalyan West,NA,Sq-ft,NA,Unfurnished,1,NA,NA,NA,Resale,Apartment,Thane,1,5,F,NA,Y,1 BHK Flat,0,New Construction,1,NA,NA,NA
